movie_id	user_id	sentiment	review
244	164	1	Avant cette série, je ne connaissais que Urgence et Grey's Anatomy comme série médicale. Si la première ne m'intéressait pas, j'étais accro à la seconde. Mais quel choc en découvrant House ! La série traite un cas médical très intéressant par épisode, mais elle est surtout fantastique pour son personnage de House : on croit avoir serner le personnage, mais non, il réussit toujours à nous surprendre et il lance répliques cultes sur répliques cultes. Je suis accroc à cette série, l'une des meilleurs du moment. Vivement la saison 4 !
563	220	0	Encore une série qui semble vouloir promouvoir le vide cérébral de ses spectateurs. Sorte de Santa Barbara version ado, la série est creuse, dénuée d'un quelconque intérêt. Elle semble condamnée à enchaîner les clichés et stéréotypes, les acteurs avec des tronches de premiers de la classe. Le scénario est inexistant, la réalisation conformiste, rien qui puisse repousser le spectateur en manque de lessive pour laver son cerveau. La série vantant le mode de vie américain et assénant de la morale caricaturale aux spectateurs pour parfaire leur éducation de petits pauvres : le gentil pauvre très intelligent et vachement rebelle, les fils de riches prétentieux, les filles de riches du genre peste insupportable et égocentriques. Et tout le monde il est beau et il est gentil, est tout est bien dans ce monde, le système marche et il n'y a pas besoin que l'État fédéral s'en mêle et tente de réparer les injustices, car au fond, seuls les plus forts (et surtout les plus riches) s'en sortent et c'est mieux pour tout le monde.
487	1169	0	Stephen King doit bien ricaner en constatant cette navrante histoire de disparus, les scénaristes semblent s'être inspirés de ses oeuvres mais ont bien moins son talent que celui du business. Quel perte de temps que de regarder ces personnages perdus au centre d'une histoire sans fin et sans intérêt, où 2 ou 3 épisodes suffisent pour décrocher, à l'inverse d'une série comme Desperate housewives dont les dialogues, les scénarii et les personnages contribuent sans cesse à relancer l'intérêt et le plaisir au fil des épisodes. Pourtant mes goûts initiaux m'auraient porté davantage du côté de la série fantastique. Il ne faut préjuger de rien! A bon entendeur...
214	509	1	Excellentissime! Une série à l'apparence toute calme et lisse, qui se révèle être un véritable noeud de problèmes, de secrets, de mensonges... Les actrices sont vraiment toutes très bonnes dans leurs rôles, avec une petite préférence pour Bree, qui pète complètement un câble à la fin de la saison 2!
547	34	1	Avec Spin City, c'est la sitcom qui me fait le plus rire. J'adore Charlie Sheen depuis "Hot Shots !" et c'est une joie de le retrouver. Les persos secondaires sont énormes, notamment Bertha la femme de ménage. Alan, le frère est assez délire (je l'ai découvert en "Fausse couche" le pilote bigleux dans "Hot Shots !". Certains épisodes sont bons mais d'autres sont vraiment excellents dont le 1er de la S2 où l'on retrouve Sean Penn, Harry Dean Stanton et Elvis Costello dans leurs prores rôles. J'attends avec impatience de pouvoir découvrir les saisons 3&4.
563	221	0	Newport beach est une série à découvrir d'urgence, cette série raconte les déboires de 4 amis et de leur entourage. Dommage que les diffusions soient rares et que la france n'en soit qu'à la première saison. Les personnages sont attachants, chacun avec sa personnalité bien à lui. La saison 2 est vraiment géniale est j'ai hâte de pouvoir voir la 3ème car la fin de la saison 2 nous laisse sans voix. Si vous aimez Les frères Scott vous aimerez Newport Beach.
633	251	0	Voir de pareilles évaluations me conforte dans l'idée de ne pas expliquer comment utiliser internet a ma grand mère !! Les francais devrait arreter de tenter de faire des séries TV !!!
111	10	1	Boston Justice est très surprenante. L'une des meilleures séries d'avocats depuis Ally Mc Beal! Les acteurs sont supers, le scénario est très bien trouvé. David E. Kelley nous surprend encore une fois avec ses créations!
185	34	0	1 étoile pour les paysages !! cette série est vraiment très nulle!! Le scénario est nul , les acteur sont nul (surtt le gars ki fait "pierre") et les dialogues j'en parle mêm pas!! j'ai vu un seul épisode et ça me suffit largement!!!! en 3 mots : pourris pourris pourris !!
633	287	0	Quand je pense qu'il ya des séries géniales qui sont arrètées car fautes d'audiences (séries us bien sur). Et la on maintien ce truc pour une quatrième saison... D'ailleurs la preuve que la série est nulle: a-t-elle rencontré le succès aux US?
354	517	0	Cette série est nul tout les médecins couche entre eux. Il n'y a que du tout le monde couche avec tout le monde et rien d'autre. Ce n'est pas la réalité et c'est ennuyeux. On c'est meme pas qui couche avec qui.
351	17	1	Vu la qualité des séries françaises, il semblait apparement impossible de faire quelque chose de différent et de beau en France....et puis, Greco est arrivé ! Il y a peut-être des défauts, oui, mais quand on pense à Navarro, Joséphine ange gardien, ou louis la brocante, Greco en devient un chef d'oeuvre , non ??!!! On sent que les scénarios sont écrits, on ne prend pas les spectateurs pour des "cons", la mise en scène est travaillée , là aussi ça nous change ! Même si les américains font encore mieux, n'oublions pas qu'ils ont les moyens, et des chaînes ( HBO ) qui ont elles des couilles ( Sex & the city , Profit, Six feet under , et dernièrement Dexter , Heroes ) Alors, Greco ressemble à Haunted ....et alors, pour une fois on a une série qui tient la route...J'espère seulement qu'elle fera des petits !!!
11	141	0	Les Feux de L'Amour est un chef d'oeuvre à côté tant par les dialogues que par les scénarios. Attention, tu fumes une et une seule cigarette à 17 ans, tu vas pourrir en enfer. Tu bois un seul verre d'alcool à 21 ans, tu es un alcoolique. Dans Les Feux de l'Amour au moins les personnages ne sont pas lisses. Ici, tout le monde est beau, tout le monde est gentil. Si vous avez des tendances suicidaires, ne regardez pas la série! Vous risquez de passer à l'acte.
327	611	0	Une des pires séries que j'ai eu l'occasion de voir, les scénarii sont d'un plat, tellement prévisibles que c'en est affligeant, les dialogues sont surréalistes, de même que les actions, à 16 ans toutes les filles tombent enceintes, boivent, couchent avec tous le monde sans s'en souvenir le lendemain, sans parler des garçons, je ne sais pas combien de fois on nous répéte dans la série à quel point Lucas est "le bon garçon", il couche avec les filles sans protection et certaines fois sans les connaître, boit et se tatoue... humm quel excellent exemple vraiment, la série de l'année.
487	146	1	Impressionant tant cette série est captivante.Lost c'est l'art de faire monter l'adrénaline d'un coup.De plus les acteurs sont vraiments bons.Parfois on rigole aussi.Bref une série incroyable qui tient en haleine !
214	312	1	Cette serie est une drogue, apres avoir vu un ou deux épisodes comme ça sans trop d'interêt on veut absolument connaitre la suite afin de savoir pourquoi Marie Alice est morte. Chaque épisode est incroyablement bien pensé et différent, tout les acteurs sont parfait dans leurs roles. Attention de ne pas manquer d'épisodes sous peine d'etre perdu^^ Je tire enfin mon chapeau a Danny Elfman qui nous offre encore un superbe thème musical dont on ne se lasse pas de l'écouter et de le réécouter.
654	5	1	Profit, ou le destin d'un homme Jim Profit prêt à tout pour arriver jusqu'au sommet de la société Gracen & Gracen , symbole du Capitalisme triomphant du milieu des années 90'. Une Satyre à la fois du monde Capitaliste (comme Wall street pouvait l'être en son temps pour la finance) et de l'avidité des Hommes,Jim Profit est "monstrueusement humain" et l'on se se délecte de ses manoeuvres pour courcicuité l'un de ses associés, Profit en est le narrateur de cette histoire, il nous met dans la confidence, nous sommes complice de ses actes. La Psychologie du personnage est poussé loin et on est toujours "admiratif" des "efforts" que cette homme qui plus jeune dormait dans une boite en carton, maltraité par un père alcoolique a pu faire pour en arriver là . Une a voire absolument !
222	296	1	Sur ce que j'ai vu, Dexter est clairement la meilleure nouvelle série de cette rentrée 2006. Et pourtant, il est absolument impossible de s'identifier au héros, Dexter Morgan, sorte de tueur en série justicier (?), incapable de ressentir la moindre émotion... Son père adoptif lui a appris ce qui est bien et ce qui ne l'est pas et Dexter s'en prend aux criminels que les flics n'ont pas réussi à coffrer. De quelle manière? En les découpant... C'est morbide, certes, mais complètement nouveau. Au cours de la première saison, Dexter mène un duel à distance hallucinant avec un autre tueur en série qui semble toujours avoir 1 ou 2 coups d'avance. Visuellement, le show est très agréable à regarder, si on arrive à survivre au générique long de 103 secondes, très stylé mais qui devient assez vite saoûlant. La couleur et la musique sud américaine sentent bons la Floride, et dans l'ensemble, le jeu des acteurs est excellent (Michael C. Hall et David Zayas au top, Erik King assez moyen en revanche)... Bon, faut pas que j'vous en dise trop, ça risquerait de gacher l'effet de surprise. Enjoy!
563	176	1	j'adore cette serie . je ne peux plus m'en passer mais malheuresement je n'ai pas tf6 alors je suis obligé d'aller la regarder chez un ami . j'espere que france 2 va recommencer la diffusion
183	41	1	Série originale et vraiment très amusante ! La fin m'a un peu déçu, mais sinon çà reste un grand souvenir série pour moi.
235	21	1	Un peu réticent à l'idée d'un remake de la première série, je dois avouer que la série tient plutôt bien la route. Après le premier épisode je suis rapidement devenu fan. De plus les performances des acteurs sont remarquables. Une bonne reprise...
488	1	1	excellente quoique trop courte, cette série ovni merite d'etre découverte sans tarder. tout les ingrédients qui font que cette serie soit une réussite sont réunis. j'espere sincerement qu'il y aura une saison 2, car trop de questions restent en suspens...
487	1254	0	Originale ? Non. L'histoire : des naufragés jouent a Ko Lantha sur une ile ou il se passe des choses etranges. C'est filmé comme du Alias : sans style (je regrette homicide ou Oz qui étaient des series originale autant par les scénars, le traitement et la manière de filmer.). Les personnages sont nuls : Le docteur charismatique et heroique, La tête de mule au grand coeur, La fille gentille mais qui est poursuivie par la justice etc... David Lynch je t'en prie, reviens !!!!!!
114	6	0	NUL NUL NUL ! C'est vu et revu et la série manque totalement de profondeur, de charisme. Le ton est surjoué au lieu d'être décalé, avec un vague rappel des Deschiens en moins bien. Ils croient se moquer du ringard, mais restent ringards à 100 %. Je regrette que cette série soit diffusée tous les jours et j'attends avec impatience un renouveau de qualité ! PLEASE !
214	55	1	Tout simplement genial! Merveilleuses actrice,un "putin" de bon scenario! Des peripecies hilarentes! La meilleurs series depuis tres longtemps
194	9	1	Damages est, à mon avis, LA série évènement de 2008 (en attendant The Tudors peut-être!). Des personnages plus pourris les uns que les autres, une intrigue qui promet d'être complexe et Glenn Close au top. Le premier épisode a suffit à me rendre accro et les suivants ne m'ont pas déçu. En bref une série qui fait mal!!!
619	39	0	Personellement je n'aime pas cette série, ça manque un peu d'énergie à mon goût et je ne m'attache pas aux personages.
277	186	1	Je découvre cette série depuis quelques mois et je la trouve vraiment géniale. Super intrigue, bonne évolution de l'enquête, résultat très professionnel. Il manque juste la grosse surprise que l'on pouvait avoir dans les premiers TAGART (avant le décès de l'acteur principal). En plus, on apprend beaucoup de choses. A voir.
192	7	1	Moi, je trouve cette série superbe, j'espère qu'elle durera encore longtemps! Mon Yves est un acteur vraiment formidable, c'est quelqu'un que j'aime vraiment. Maintenant, j'attend le prochain "Commissaire Moulin" avec impatience.
214	987	0	Est-ce une série ? Je n'en crois pas !
287	9	0	Totalement d'accord avec Soldatryan. C'est nul. Affligeant.
348	13	1	Ayant lu et relu les livres de Cecily von Ziegesar, quelle surprise de voir qu'ils ont été adaptés à la télé. Certes l'histoire et le caractère des personnages ne sont pas les mêmes, mais cela n'est pas vraiment gênant. On y découvre des jeunes acteurs encore inconnus en France, qui jouent très bien leurs rôle et surtout que le fait d'être riche et beau n'exclu pas le fait d'avoir des problèmes et d'être heureux.
365	1	1	"Hartley" c'est LA série par excellence, Hollywood n'a rien inventé !! Trop fan, dommage que ça passa plus c'est trop dommage. Cherche desepérément les DVD car, comme bcp de monde le dit, c'est MYTHIQUE !!!!!!!
216	106	1	Alors sur cette série les avis sont partagés mais moi je mets quand même 3 étoiles ! y'en a qui quand il voit ça la première fois se disent " mais c'est quoi cette série trop nulle ? " moi au départ je me disais ça puis petit à petit j'ai suivi et en fait j'ai envie de connaître la suite et de voir enfin un jour lisa et david ensemble ! bien sûr certains épisodes laissent à désirer car il ne se passe pas grand chose de très important puis l'humour est un peu bête et certains personnages sont assez bête également ! mais pour ma part , je ne peux pas m'empêcher de regarder en fait ! bon c'est vrai que ça devient long à force ils ne sont toujours pas ensemble mais l'histoire commence à évoluer de plus en plus dc on verra bien ce qui se passera !
577	329	0	Après les nombreuses séries traitant des hôpitaux à l'instar d'Urgences par exemple, voici le quotidien de chirurgiens esthétiques. Ce qui aurait pu devenir une vraie dénonciation du culte de l'apparence, des excès en tout genre de la société américaine et sa remise en question, se transforme en série longue, ennuyeuse et vulgaire. Les personnages sont inattachant, le casting est désastreux : non seulement les acteurs sont dénués de charme et de jeu, mais en plus, ils s'avèrent incapable de rendre crédible cette histoire de chirurgiens. Qui pourrait bien penser que cet acteur de séries Z qu'est Julian McMahon (vous rappelez-vous le démon pathétique de Charmed et le méchant caricatural des 4 Fantastiques ?), puisse être un chirurgien. Tout cela est vraiment calamiteux, je pense à la scène où les deux chirurgiens viennent ouvrir leur patientes, parle de leur vie privée durant l'opération, ils manquaient plus qu'ils fredonnent "Heigh-ho, Heigh-ho, on rentre du boulot!". La vie personnelle des 2 médecins enfonce encore le clou de la caricature : le médecin cool, arriviste, et golden boy qui tirent toutes les nanas, tandis que l'honnête et vertueux père de famille et mari s'occupe de ses problèmes conjugaux et de l'adolescence de son fils. Honnêtement, je ne vois aucun intérêt à regarder pareille nullité. Dans un genre proche, préférez regarder la rafraîchissante Grey's Anatomy.
547	60	1	Mon Oncle Charlie, à première vue, n'est qu'une sitcom de plus dans le monde des séries...et pourtant! Cela faisait longtemps - depuis Friends? - qu'une série n'avait pas été aussi drôle, touchante... Les dialogues sont formidable et c'est le fou rire assuré à chaque épisode! Charlie Sheen y est en pleine forme, dans son rôle de coureur de jupon au coeur tendre, et le petit Angus Jones, dans le rôle de Jake, est un vrai bonheur: rondouillard, adorable, futé, un peu paumé... Le problème du divorce, des familles monoparentales, est abordé avec humour mais sans jamais tomber dans la caricature. Une série à regarder en v.o., à regarder tout court!
372	271	1	Je viens de visionner les premiers episodes, jamais trop tard me direz vous! Je retrouve les super heros torturés et doutant de ce qu'ils sont. Tous ce qui me fait aimer les super heros: Des gens ordinnaires dans une situation extraordinnaire. Heroes est sans doute une future serie culte!
229	16	1	cette série est vraiment un événement! elle marque le grand retour de courteney cox meilleure que jamais dans ce role de lucy spiller qui lui colle à la peau ! si vous aimez les série moderne avec l'humour , le sexe et les scandales cette série et pour vous ! entre courteney cox qui interprète une redactrice de magazine people prete à tous pour sa couverture et c'est sont meilleure ami photgraphe et scizophrène qui les lui ramènent en utilisant tous les moyens ! enfin les personnages sont attachants , l(histoire et prenante et nous somme touours en quète de savoir la suite ! à voir absolument !!!!
108	39	1	Voici une série que je viens à peine de découvrir que j'ai commencé à apprécier. Le tout premier épisode m'a marqué, et j'ai flashé dessus. J'ai l'impression de regarder les experts alors que ce début de série est pratiquement similaire. David Boréanaz et Emily Deschanel forment un couple d'enfer avec leurs rôles respectifs.
229	29	1	Enfin une série originale ! Vous vous souvenez de la petite révolution de nip/tuck quand elle a été lancée ? Eh bien attendez-vous à bien mieux ! C'est une des série les plus originales depuis des années et surtout l'une des plus friandes de scandales ! Les acteurs y sont aussi très bons.
614	18	0	1 étoiles pour la tentative d'adaptation qui reste très scolaire. <br> La grosse erreur est d'avoir poussé les acteurs à calquer leur jeux sur ceux des acteurs américain. <br> C'est une catastrophe pour tous ceux qui on vu l'original, l'impression de déjà vu est limite supportable tellement on sent les acteurs jouer "à l'imitation". <br> Si les acteurs n'ont pas vu l'original, ce doit être le réalisateur qui les a dirigé limite avec une antisèche. <br> Pour ce qui est de la manière de filmer, ça sent le low budget ou bien des cameramen formés à la française qu'on empêche de filmer comme ils le sentiraient, là encore pour essayer de copier l'original. <br> Puis les chemise sombre froissées... franchement, le personnage est un compulsif obsessionnel, propre sur lui qu'on ne confond avec le décors à aucun moment. <br> Il manquerait à Perez une 20aine de cm pour calquer son jeux sur celui d'Onofrio... ou alors l'adaptater à sa stature <br> on ne peut pas remplacer un Vincent par un autre comme ça <br> En espérant qu'il reste assez de scénariste enthousiastes en France
330	470	1	BONNE série car elle est très drole avec de bon acteur malheuresement un peu de grossierté et un peu typique des série.
424	36	1	Une excellente suite as friends. Joey était clairement le personnage plus charismatique de la série. En lui dediant ce spin-off on rentre un peu plus dans l'univers de Joey en preservant l'humour qui as fais le succes de friends. Si vous aimez friends allez y sans hesiter.
